Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
59.0,The Legend of Heroes: Sen no Kiseki II,2014,Misc,NIS America,0.06,0.04,0.13,0.03,0.26
60.0,Dynasty Warriors Vita,2011,Action,Tecmo Koei,0.05,0.07,0.11,0.03,0.26
61.0,The Legend of Heroes: Sen no Kiseki,2013,Misc,NIS America,0.05,0.03,0.14,0.03,0.25
62.0,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016,Action,Square Enix,0.0,0.0,0.25,0.0,0.25
63.0,Jikkyou Powerful Pro Baseball 2016,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.0,0.25
64.0,Ys: Foliage Ocean in Celceta,2012,Misc,Nihon Falcom Corporation,0.1,0.01,0.1,0.04,0.25
65.0,Lumines: Electronic Symphony ,2012,Misc,Ubisoft,0.09,0.1,0.01,0.05,0.24
66.0,Toukiden Extreme,2014,Misc,Tecmo Koei,0.03,0.02,0.18,0.02,0.24
67.0,Muramasa: The Demon Blade,2013,Action-Adventure,Marvelous Entertainment,0.11,0.0,0.1,0.04,0.24
68.0,God of War Collection,2014,Action,Sony Computer Entertainment,0.1,0.07,0.02,0.05,0.24
69.0,Next Hatsune Miku: Project Diva,2012,Misc,Sega,0.0,0.0,0.23,0.0,0.23
70.0,Martian Chess,2014,Misc,Marvelous Interactive,0.11,0.01,0.06,0.04,0.23
71.0,Soul Sacrifice Delta,2014,Misc,Sony Computer Entertainment,0.0,0.08,0.12,0.02,0.23
72.0,Dungeon Hunter Alliance,2012,Action,Ubisoft,0.08,0.11,0.0,0.04,0.23
73.0,Silent Hill: Book of Memories,2012,Misc,Konami Digital Entertainment,0.11,0.06,0.0,0.05,0.23
74.0,Senran Kagura: Estival Versus,2015,Action,Marvelous Interactive,0.04,0.03,0.1,0.05,0.22
75.0,Danganronpa Another Episode: Ultra Despair Girls,2014,Shooter,NIS America,0.06,0.01,0.12,0.02,0.22
76.0,Project Versus J,2014,Misc,Namco Bandai Games,0.0,0.03,0.17,0.01,0.21
77.0,Kan Colle Kai,2016,Action,Kadokawa Games,0.0,0.0,0.21,0.0,0.21
78.0,Street Fighter x Tekken,2012,Fighting,Capcom,0.1,0.05,0.01,0.04,0.21
79.0,LEGO Harry Potter: Years 5-7,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.09,0.0,0.04,0.2
80.0,MLB 12: The Show,2012,Sports,Sony Computer Entertainment,0.17,0.0,0.0,0.03,0.2
81.0,3rd Super Robot Wars Z: Tengoku-Hen,2015,Action,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2
